"article.title","journal.title","journal.volume","pageStart","pageEnd","publication.year","citation","abstract"
"Wise Crowd Content Assessment and Educational Rubrics","International Journal of Artificial Intelligence in Education","volume28","29","55","2018","Passonneau, R.J., Poddar, A., Gite, G. et al. Wise Crowd Content Assessment and Educational Rubrics. Int J Artif Intell Educ 28, 29–55 (2018). https://doi.org/10.1007/s40593-016-0128-6","Development of reliable rubrics for educational intervention studies that address reading and writing skills is labor-intensive, and could benefit from an automated approach. We compare a main ideas rubric used in a successful writing intervention study to a highly reliable wise-crowd content assessment method developed to evaluate machine-generated summaries. The ideas in the educational rubric were extracted from a source text that students were asked to summarize. The wise-crowd content assessment model is derived from summaries written by an independent group of proficient students who read the same source text, and followed the same instructions to write their summaries. The resulting content model includes a ranking over the derived content units. All main ideas in the rubric appear prominently in the wise-crowd content model. We present two methods that automate the content assessment. Scores based on the wise-crowd content assessment, both manual and automated, have high correlations with the main ideas rubric. The automated content assessment methods have several advantages over related methods, including high correlations with corresponding manual scores, a need for only half a dozen models instead of hundreds, and interpretable scores that independently assess content quality and coverage."
"Role of Working Memory and Strategy-Use in Feedback Effects on children’s Progression in Analogy Solving:an Explanatory Item Response Theory Account","International Journal of Artificial Intelligence in Education","volume27","393","418","2017","Stevenson, C.E. Role of Working Memory and Strategy-Use in Feedback Effects on children’s Progression in Analogy Solving:an Explanatory Item Response Theory Account. Int J Artif Intell Educ 27, 393–418 (2017). https://doi.org/10.1007/s40593-016-0129-5","This study contrasted the effects of tutoring, multiple try and no feedback on children’s progression in analogy solving and examined individual differences herein. Feedback that includes additional hints or explanations leads to the greatest learning gains in adults. However, children process feedback differently from adults and effective feedback likely differs between learners with different characteristics or at different stages in the learning process. In this paper multilevel explanatory item response theory models were used to examine individual differences in feedback effects in children’s performance on a computerized pretest-training-posttest assessment of analogical reasoning. The role of working memory and ability level, based on initial strategy-use, were examined in a sample of 999 5–10 year-old children who received either tutoring feedback, multiple tries or no feedback during the training sessions. The results indicate that tutoring feedback leads to the greatest performance gains; however, this was moderated by working memory and ability level. Children who initially used less advanced strategies benefited more from each type of feedback than children who used advanced strategies at pretest. Higher working memory scores were linked to greater benefit from tutoring feedback or no feedback, whereas learning gains in the multiple try condition were not related to working memory. The findings of this study contribute to the growing literature on how to personalize feedback to the learner’s instructional-needs."
"The Impacts of Domain-General vs. Domain-Specific Diagramming Tools on Writing","International Journal of Artificial Intelligence in Education","volume27","671","693","2017","Barstow, B., Fazio, L., Lippman, J. et al. The Impacts of Domain-General vs. Domain-Specific Diagramming Tools on Writing. Int J Artif Intell Educ 27, 671–693 (2017). https://doi.org/10.1007/s40593-016-0130-z","Argument diagramming is the process of spatially representing an argument by its component parts and their relationships. A growing body of evidence supports the use of argument diagramming to aid student learning and writing within disciplines including science education. However, most of these studies have focused on basic contrasts between diagramming and no diagramming. The purpose of this study was to learn how different diagramming frameworks affect the benefits afforded by argument diagramming. Three groups of undergraduate students in psychology research methods lab courses were given either no diagramming support, support with a domain-general framework, or support with a domain-specific framework to help them write a research paper introduction. Students given any diagramming support included more relevant citations and considered opposing citations in their papers. Students using the domain-specific framework wrote more about the scientific validity of cited studies than the other two groups, whereas students using the domain-general framework trended towards included more supporting citations."
"Applying a Framework for Student Modeling in Exploratory Learning Environments: Comparing Data Representation Granularity to Handle Environment Complexity","International Journal of Artificial Intelligence in Education","volume27","320","352","2017","Fratamico, L., Conati, C., Kardan, S. et al. Applying a Framework for Student Modeling in Exploratory Learning Environments: Comparing Data Representation Granularity to Handle Environment Complexity. Int J Artif Intell Educ 27, 320–352 (2017). https://doi.org/10.1007/s40593-016-0131-y","Interactive simulations can facilitate inquiry learning. However, similarly to other Exploratory Learning Environments, students may not always learn effectively in these unstructured environments. Thus, providing adaptive support has great potential to help improve student learning with these rich activities. Providing adaptive support requires a student model that can both evaluate learning as well inform relevant feedback. Building such a model for interactive simulations is especially challenging because the exploratory nature of the interaction makes it hard to know a priori which behaviors are conducive to learning. To address this problem, in this paper we leverage the student modeling framework proposed in (Kardan and Conati, 2011) to specifically address the challenge of modeling students in interactive simulations. The framework has already been successfully applied to build a student model and to give adaptive interventions for an interactive simulation for constraint satisfaction. We seek to investigate the generality of the framework by building student models for a more complex simulation on electric circuits called Circuit Construction Kit (CCK). We evaluate alternative representations of logged interaction data with CCK, capturing different amounts of granularity and feature engineering. We then apply the student modeling framework proposed in (Kardan and Conati, 2011) to group students based on their interaction behaviors, map these behaviors into learning outcomes and leverage the resulting clusters to classify new learners. Data collected from 100 college students working with the CCK simulation indicates that the proposed framework is able to successfully classify students in groups of high and low learners and identify patterns of productive behaviors that are common across representations that can inform real-time feedback. In addition to presenting these results, we discuss trade-offs between levels of granularity and feature engineering in the tested interaction representations in terms of their ability to evaluate learning, classify students, and inform feedback."
"Automated Assessment of the Quality of Peer Reviews using Natural Language Processing Techniques","International Journal of Artificial Intelligence in Education","volume27","534","581","2017","Ramachandran, L., Gehringer, E.F. & Yadav, R.K. Automated Assessment of the Quality of Peer Reviews using Natural Language Processing Techniques. Int J Artif Intell Educ 27, 534–581 (2017). https://doi.org/10.1007/s40593-016-0132-x","A review is textual feedback provided by a reviewer to the author of a submitted version. Peer reviews are used in academic publishing and in education to assess student work. While reviews are important to e-commerce sites like Amazon and e-bay, which use them to assess the quality of products and services, our work focuses on academic reviewing. We seek to help reviewers improve the quality of their reviews. One way to measure review quality is through metareview or review of reviews. We develop an automated metareview software that provides rapid feedback to reviewers on their assessment of authors’ submissions. To measure review quality, we employ metrics such as: review content type, review relevance, review’s coverage of a submission, review tone, review volume and review plagiarism (from the submission or from other reviews). We use natural language processing and machine-learning techniques to calculate these metrics. We summarize results from experiments to evaluate our review quality metrics: review content, relevance and coverage, and a study to analyze user perceptions of importance and usefulness of these metrics. Our approaches were evaluated on data from Expertiza and the Scaffolded Writing and Rewriting in the Discipline (SWoRD) project, which are two collaborative web-based learning applications."
"Designing Grounded Feedback: Criteria for Using Linked Representations to Support Learning of Abstract Symbols","International Journal of Artificial Intelligence in Education","volume27","448","474","2017","Wiese, E.S., Koedinger, K.R. Designing Grounded Feedback: Criteria for Using Linked Representations to Support Learning of Abstract Symbols. Int J Artif Intell Educ 27, 448–474 (2017). https://doi.org/10.1007/s40593-016-0133-9","This paper proposes grounded feedback as a way to provide implicit verification when students are working with a novel representation. In grounded feedback, students’ responses are in the target, to-be-learned representation, and those responses are reflected in a more-accessible linked representation that is intrinsic to the domain. By examining the accessible feedback representation, students can infer if their work with the novel representation is correct. This paper presents the criteria for grounded feedback, provides examples of systems that implement grounded feedback, contrasts grounded feedback with similar feedback types, and discusses the evidence for grounded feedback’s effectiveness. Controlled experiments with random assignment that compare grounded feedback to other approaches are limited in number and scope (i.e., comparisons to explicit verification with and without text hints, linked representations, and no feedback). The two experiments we found with full implementation of grounded feedback and a sample size larger than 20 found robust learning benefits of grounded feedback over explicit verification feedback. These results are promising and indicate that grounded feedback warrants further investigation."
"Do Knowledge-Component Models Need to Incorporate Representational Competencies?","International Journal of Artificial Intelligence in Education","volume27","298","319","2017","Rau, M.A. Do Knowledge-Component Models Need to Incorporate Representational Competencies?. Int J Artif Intell Educ 27, 298–319 (2017). https://doi.org/10.1007/s40593-016-0134-8","Traditional knowledge-component models describe students’ content knowledge (e.g., their ability to carry out problem-solving procedures or their ability to reason about a concept). In many STEM domains, instruction uses multiple visual representations such as graphs, figures, and diagrams. The use of visual representations implies a “representation dilemma”: students learn new content from visual representations they may not yet understand at the same time as they learn about visual representations that show content they do not yet understand. Therefore, students’ learning of content knowledge and of representational competencies (i.e., knowledge about representations) is invariably intertwined. Consequently, instruction may need to adapt not only to students’ acquisition of content knowledge but also to their acquisition of representational competencies. This claim corresponds to the hypothesis that knowledge-component models that describe content knowledge and representational competencies should be more accurate than knowledge-component models that describe only content knowledge. Yet, this hypothesis has not yet been tested. The work in this article tests this hypothesis by comparing knowledge-component models that describe representational competencies and content knowledge to knowledgecomponent models that describe only content knowledge. Analysis of log data from two experiments on chemistry learning with overall 203 undergraduate students suggests that including representational competencies into knowledge-component models increases model fit if the representational competencies are difficult. This finding suggests that students can learn abstract content knowledge only if they have a prerequisite level of representational competencies, and that educational technologies should use adaptive knowledge-component models that capture representational competencies the student has not yet mastered."
"New Directions in Formative Feedback in Interactive Learning Environments","International Journal of Artificial Intelligence in Education","volume27","385","392","2017","Goldin, I., Narciss, S., Foltz, P. et al. New Directions in Formative Feedback in Interactive Learning Environments. Int J Artif Intell Educ 27, 385–392 (2017). https://doi.org/10.1007/s40593-016-0135-7","Formative feedback is well known as a key factor in influencing learning. Modern interactive learning environments provide a broad range of ways to provide feedback to students as well as new tools to understand feedback and its relation to various learning outcomes. This issue focuses on the role of formative feedback through a lens of how technologies both support student learning and enhance our understanding of the mechanisms of feedback. The papers in the issue span a variety of feedback strategies, instructional domains, AI techniques, and educational use cases in order to improve and understand formative feedback in interactive learning environments. The issue encompasses three primary themes critical to understanding formative feedback: 1) the role of human information processing and individual learner characteristics for feedback efficiency, 2) how to deliver meaningful feedback to learners in domains of study where student work is difficult to assess, and 3) how human feedback sources (e.g., peer students) can be supported by user interfaces and technology-generated feedback."
"Iterative Design and Classroom Evaluation of Automated Formative Feedback for Improving Peer Feedback Localization","International Journal of Artificial Intelligence in Education","volume27","582","622","2017","Nguyen, H., Xiong, W. & Litman, D. Iterative Design and Classroom Evaluation of Automated Formative Feedback for Improving Peer Feedback Localization. Int J Artif Intell Educ 27, 582–622 (2017). https://doi.org/10.1007/s40593-016-0136-6","A peer-review system that automatically evaluates and provides formative feedback on free-text feedback comments of students was iteratively designed and evaluated in college and high-school classrooms. Classroom assignments required students to write paper drafts and submit them to a peer-review system. When student peers later submitted feedback comments on the papers to the system, Natural Language Processing was used to automatically evaluate peer feedback quality with respect to localization (i.e., pinpointing the source of the comment in the paper being reviewed). These evaluations in turn triggered immediate formative feedback by the system, which was designed to increase peer feedback localization whenever a feedback submission was predicted to have a ratio of localized comments less than a threshold. System feedback was dynamically generated based on the results of localization prediction. Reviewers could choose to either revise their feedback comments to address the system’s feedback or could ignore the feedback. Our analysis of data from system logs demonstrates that our peer feedback localization prediction model triggered the formative feedback with high precision, particularly when peer feedback comments were written by college students. Our findings also show that although students often incorrectly disagree with the system’s feedback, when they do revise their peer feedback comments, the system feedback was successful in increasing peer feedback localization (although the sample size was low). Finally, while most peer comments were revised immediately after the system feedback, the desired revision behavior also occurred further after such system feedback."
"Assessing Whether Students Seek Constructive Criticism: The Design of an Automated Feedback System for a Graphic Design Task","International Journal of Artificial Intelligence in Education","volume27","419","447","2017","Cutumisu, M., Blair, K.P., Chin, D.B. et al. Assessing Whether Students Seek Constructive Criticism: The Design of an Automated Feedback System for a Graphic Design Task. Int J Artif Intell Educ 27, 419–447 (2017). https://doi.org/10.1007/s40593-016-0137-5","We introduce a choice-based assessment strategy that measures students’ choices to seek constructive feedback and to revise their work. We present the feedback system of a game we designed to assess whether students choose positive or negative feedback and choose to revise their posters in the context of a poster design task, where they learn graphic design principles from feedback. We then describe an empirical study that sampled one hundred and six students from a US middle school to evaluate the feedback system. We make the following contributions: (1) describe the design and implementation of a novel feedback system embedded in an assessment game, Posterlet, (2) outline an approach to analyze graphic design principles automatically to provide contextual feedback in a novel poster design domain, (3) show that choices to seek negative feedback and to revise correlate with in-game performance, and most importantly, (4) show that choices correlate with in-school achievement: the choice to revise correlated with both in-school performance measures (Science and Mathematics grades), while the choice to seek negative feedback correlated with students’ prior standardized scores in Mathematics."
"Different Approaches to Assessing the Quality of Explanations Following a Multiple-Document Inquiry Activity in Science","International Journal of Artificial Intelligence in Education","volume27","758","790","2017","Wiley, J., Hastings, P., Blaum, D. et al. Different Approaches to Assessing the Quality of Explanations Following a Multiple-Document Inquiry Activity in Science. Int J Artif Intell Educ 27, 758–790 (2017). https://doi.org/10.1007/s40593-017-0138-z","This article describes several approaches to assessing student understanding using written explanations that students generate as part of a multiple-document inquiry activity on a scientific topic (global warming). The current work attempts to capture the causal structure of student explanations as a way to detect the quality of the students’ mental models and understanding of the topic by combining approaches from Cognitive Science and Artificial Intelligence, and applying them to Education. First, several attributes of the explanations are explored by hand coding and leveraging existing technologies (LSA and Coh-Metrix). Then, we describe an approach for inferring the quality of the explanations using a novel, two-phase machine-learning approach for detecting causal relations and the causal chains that are present within student essays. The results demonstrate the benefits of using a machine-learning approach for detecting content, but also highlight the promise of hybrid methods that combine ML, LSA and Coh-Metrix approaches for detecting student understanding. Opportunities to use automated approaches as part of Intelligent Tutoring Systems that provide feedback toward improving student explanations and understanding are discussed."
"Assistance and Feedback Mechanism in an Intelligent Tutoring System for Teaching Conversion of Natural Language into Logic","International Journal of Artificial Intelligence in Education","volume27","475","514","2017","Perikos, I., Grivokostopoulou, F. & Hatzilygeroudis, I. Assistance and Feedback Mechanism in an Intelligent Tutoring System for Teaching Conversion of Natural Language into Logic. Int J Artif Intell Educ 27, 475–514 (2017). https://doi.org/10.1007/s40593-017-0139-y","Logic as a knowledge representation and reasoning language is a fundamental topic of an Artificial Intelligence (AI) course and includes a number of sub-topics. One of them, which brings difficulties to students to deal with, is converting natural language (NL) sentences into first-order logic (FOL) formulas. To assist students to overcome those difficulties, we developed the NLtoFOL system and equipped it with a strong assistance and feedback mechanism. In this work, first, we present that feedback mechanism. The mechanism can provide assistance before an answer is submitted, if requested, but mainly it provides assistance after an answer is submitted. To that end, it characterizes the answer in terms of completeness and accuracy to determine the level of incorrectness, based on an answer categorization scheme, introduced in this paper. The automatically generated natural language feedback sequences grow from general to specific and can include statements on a student’s metacognitive state. Feedback is provided as natural language sentences automatically generated through a template-based natural language generation mechanism. Second, we present an extensive evaluation of the effectiveness of the assistance and feedback mechanism on students’ learning. The evaluation of feedback with students showed that full feedback sequences lead to greater learning gains than sequences consisting of only flag feedback and bottom-out hints (n<U+2009>=<U+2009>226), and that generic, template-based feedback sequences are comparable to the utility of problem-specific hints generated by human tutors (n<U+2009>=<U+2009>120)."
"Reflective Writing About the Utility Value of Science as a Tool for Increasing STEM Motivation and Retention – Can AI Help Scale Up?","International Journal of Artificial Intelligence in Education","volume27","791","818","2017","Beigman Klebanov, B., Burstein, J., Harackiewicz, J.M. et al. Reflective Writing About the Utility Value of Science as a Tool for Increasing STEM Motivation and Retention – Can AI Help Scale Up?. Int J Artif Intell Educ 27, 791–818 (2017). https://doi.org/10.1007/s40593-017-0141-4","The integration of subject matter learning with reading and writing skills takes place in multiple ways. Students learn to read, interpret, and write texts in the discipline-relevant genres. However, writing can be used not only for the purposes of practice in professional communication, but also as an opportunity to reflect on the learned material. In this paper, we address a writing intervention – Utility Value (UV) intervention – that has been shown to be effective for promoting interest and retention in STEM subjects in laboratory studies and field experiments. We conduct a detailed investigation into the potential of natural language processing technology to support evaluation of such writing at scale: We devise a set of features that characterize UV writing across different genres, present common themes, and evaluate UV scoring models using essays on known and new biology topics. The automated UV scoring results are, we believe, promising, especially for the personal essay genre."
"Automated Assessment of Non-Native Learner Essays: Investigating the Role of Linguistic Features","International Journal of Artificial Intelligence in Education","volume28","79","105","2018","Vajjala, S. Automated Assessment of Non-Native Learner Essays: Investigating the Role of Linguistic Features. Int J Artif Intell Educ 28, 79–105 (2018). https://doi.org/10.1007/s40593-017-0142-3","Automatic essay scoring (AES) refers to the process of scoring free text responses to given prompts, considering human grader scores as the gold standard. Writing such essays is an essential component of many language and aptitude exams. Hence, AES became an active and established area of research, and there are many proprietary systems used in real life applications today. However, not much is known about which specific linguistic features are useful for prediction and how much of this is consistent across datasets. This article addresses that by exploring the role of various linguistic features in automatic essay scoring using two publicly available datasets of non-native English essays written in test taking scenarios. The linguistic properties are modeled by encoding lexical, syntactic, discourse and error types of learner language in the feature set. Predictive models are then developed using these features on both datasets and the most predictive features are compared. While the results show that the feature set used results in good predictive models with both datasets, the question ”what are the most predictive features?” has a different answer for each dataset."
"Assessing Students’ Use of Evidence and Organization in Response-to-Text Writing: Using Natural Language Processing for Rubric-Based Automated Scoring","International Journal of Artificial Intelligence in Education","volume27","694","728","2017","Rahimi, Z., Litman, D., Correnti, R. et al. Assessing Students’ Use of Evidence and Organization in Response-to-Text Writing: Using Natural Language Processing for Rubric-Based Automated Scoring. Int J Artif Intell Educ 27, 694–728 (2017). https://doi.org/10.1007/s40593-017-0143-2","This paper presents an investigation of score prediction based on natural language processing for two targeted constructs within analytic text-based writing: 1) students’ effective use of evidence and, 2) their organization of ideas and evidence in support of their claim. With the long-term goal of producing feedback for students and teachers, we designed a task-dependent model, for each dimension, that aligns with the scoring rubric and makes use of the source material. We believe the model will be meaningful and easy to interpret given the writing task. We used two datasets of essays written by students in grades 5–6 and 6–8. Our experimental results show that our task-dependent model (consistent with the rubric) performs as well as if not outperforms competitive baselines. We also show the potential generalizability of the rubric-based model by performing cross-corpus experiments. Finally, we show that the predictive utility of different feature groups in our rubric-based modeling approach is related to how much each feature group covers a rubric’s criteria."
"AI in Informal Science Education: Bringing Turing Back to Life to Perform the Turing Test","International Journal of Artificial Intelligence in Education","volume27","353","384","2017","Gonzalez, A.J., Hollister, J.R., DeMara, R.F. et al. AI in Informal Science Education: Bringing Turing Back to Life to Perform the Turing Test. Int J Artif Intell Educ 27, 353–384 (2017). https://doi.org/10.1007/s40593-017-0144-1","This paper describes an interactive museum exhibit featuring an avatar of Alan Turing that informs museum visitors about artificial intelligence and Turing’s seminal Turing Test for machine intelligence. The objective of the exhibit is to engage and motivate visiting children in the hope of sparking an interest in them about computer science and artificial intelligence, and cause them to consider pursuing future studies and/or careers in these fields. The exhibit interacts with the visitors, allowing them to participate in a simplified version of Turing’s test that is brief and informal to suit the limitations of a five-minute exhibit. In this exhibit, the visitor (targeted towards middle school age children) invokes an avatar of his/her own choice, and acts to endow it with human-like qualities (voice, brain, eyesight and hearing). Then, the visitor engages the avatar in a (brief) question-and-answer session to determine whether the visitor thinks that he/she is interacting with a real human on a video conference or with an avatar. We consider this interaction to be an extension of the original Turing Test because, unlike Turing’s original that used text via a teletype, this version features a graphical embodiment of an agent with which one can converse in spoken natural language. This extension serves to make passing the Turing Test more difficult, as now the avatar must not only communicate like a human, but also look, sound and act the part. It also makes the exhibit visual, dynamic and interesting to the visitors. Evaluations were performed with museum visitors, both in backrooms with prototypes as well as on the museum floor with the final version. The formative and summative evaluations performed indicated overall success in engaging the museum visitors and increasing their interest in computer science. More specifically, the formative testing, mostly done in quiet back rooms with selected test subjects, indicated that on the important questions about enjoyment of exhibit and increased interest in computer science by the test subjects, their self-reported Likert scale responses (1 being negative and 5 being positive) increased from 3.16 in the first evaluation to 4.38 in the third one for increased interest in CS. Likewise for the question about exhibit enjoyment (from 3.92 to 4.56). The summative evaluation, done through unobtrusive observation of exhibit use on museum floor, indicated that almost 74% of the parties that initiated the exhibit were either highly or moderately engaged by the exhibit. However, there was one major negative finding, namely the overly long duration of the exhibit, which may have caused premature abandonment of the exhibit in several cases during the summative evaluation. These tests and their results are presented and discussed in detail in this paper. The exhibit has been on permanent display at the Orlando (FL) Science Center since June 2014 and has received a strongly positive response from visitors since that time."
"Designing Adaptive Instruction for Teams: a Meta-Analysis","International Journal of Artificial Intelligence in Education","volume28","225","264","2018","Sottilare, R.A., Shawn Burke, C., Salas, E. et al. Designing Adaptive Instruction for Teams: a Meta-Analysis. Int J Artif Intell Educ 28, 225–264 (2018). https://doi.org/10.1007/s40593-017-0146-z","The goal of this research was the development of a practical architecture for the computer-based tutoring of teams. This article examines the relationship of team behaviors as antecedents to successful team performance and learning during adaptive instruction guided by Intelligent Tutoring Systems (ITSs). Adaptive instruction is a training or educational experience tailored by artificially-intelligent, computer-based tutors with the goal of optimizing learner outcomes (e.g., knowledge and skill acquisition, performance, enhanced retention, accelerated learning, or transfer of skills from instructional environments to work environments). The core contribution of this research was the identification of behavioral markers associated with the antecedents of team performance and learning thus enabling the development and refinement of teamwork models in ITS architectures. Teamwork focuses on the coordination, cooperation, and communication among individuals to achieve a shared goal. For ITSs to optimally tailor team instruction, tutors must have key insights about both the team and the learners on that team. To aid the modeling of teams, we examined the literature to evaluate the relationship of teamwork behaviors (e.g., communication, cooperation, coordination, cognition, leadership/coaching, and conflict) with team outcomes (learning, performance, satisfaction, and viability) as part of a large-scale meta-analysis of the ITS, team training, and team performance literature. While ITSs have been used infrequently to instruct teams, the goal of this meta-analysis make team tutoring more ubiquitous by: identifying significant relationships between team behaviors and effective performance and learning outcomes; developing instructional guidelines for team tutoring based on these relationships; and applying these team tutoring guidelines to the Generalized Intelligent Framework for Tutoring (GIFT), an open source architecture for authoring, delivering, managing, and evaluating adaptive instructional tools and methods. In doing this, we have designed a domain-independent framework for the adaptive instruction of teams."
"Shared Mental Models in Support of Adaptive Instruction for Teams Using the GIFT Tutoring Architecture","International Journal of Artificial Intelligence in Education","volume28","265","285","2018","Fletcher, J.D., Sottilare, R.A. Shared Mental Models in Support of Adaptive Instruction for Teams Using the GIFT Tutoring Architecture. Int J Artif Intell Educ 28, 265–285 (2018). https://doi.org/10.1007/s40593-017-0147-y","Teams and teamwork are ubiquitous in military and civilian organizations. Their importance to organizational success cannot be overstated. This article describes the relationship and effect of three concepts: Intelligent Tutoring Systems (ITSs), shared mental models, and teamwork. The nexus between these concepts is examined to determine its capability to support adaptive instruction of teams, defined here as collectives of interdependent individuals who must communicate and interact with each other in order to perform assigned tasks and missions. An assumption underlying this examination is that augmenting the mental modeling processes of ITS with the mental models shared by members of interdependent teams will allow the considerable and increasingly research-established capabilities of intelligent tutoring of individuals to be applied in training teams. Specifically, we reviewed the learning and performance literature to identify how shared mental models of cognition could be used to enhance the adaptive instruction of teams. Our goal is to develop a methodology to enhance training and educational options for institutions that provide adaptive team instruction at the point-of-need. Toward this end, we discuss the adaptation of the Generalized Intelligent Framework for Tutoring (GIFT), an open source tutoring architecture, to accommodate team models and states. While this article makes a first step toward defining a process for team tutoring, challenges remain. Team tutors must have the ability to manage uncertainty and the dynamic nature of team interaction and communication in order to make effective and timely decisions that optimize team and team member performance."
"Ensemble Learning for Estimating Individualized Treatment Effects in Student Success Studies","International Journal of Artificial Intelligence in Education","volume28","315","335","2018","Beemer, J., Spoon, K., He, L. et al. Ensemble Learning for Estimating Individualized Treatment Effects in Student Success Studies. Int J Artif Intell Educ 28, 315–335 (2018). https://doi.org/10.1007/s40593-017-0148-x","Student success efficacy studies are aimed at assessing instructional practices and learning environments by evaluating the success of and characterizing student subgroups that may benefit from such modalities. We propose an ensemble learning approach to perform these analytics tasks with specific focus on estimating individualized treatment effects (ITE). ITE are a measure from the personalized medicine literature that can, for each student, quantify the impact of the intervention strategy on student performance, even though the given student either did or did not experience this intervention (i.e., is either in the treatment group or in the control group). We illustrate our learning analytics methods in the study of a supplemental instruction component for a large enrollment introductory statistics course recognized as a curriculum bottleneck at San Diego State University. As part of this application, we show how the ensemble estimate of the ITE may be used to assess the pedagogical reform (supplemental instruction), advise students into supplemental instruction at the beginning of the course, and quantify the impact of the supplemental instruction component on at-risk subgroups."
"Special Issue on the Generalized Intelligent Framework for Tutoring (GIFT): Creating a Stable and Flexible Platform for Innovations in AIED Research","International Journal of Artificial Intelligence in Education","volume28","139","151","2018","Sottilare, R.A., Baker, R.S., Graesser, A.C. et al. Special Issue on the Generalized Intelligent Framework for Tutoring (GIFT): Creating a Stable and Flexible Platform for Innovations in AIED Research. Int J Artif Intell Educ 28, 139–151 (2018). https://doi.org/10.1007/s40593-017-0149-9","The Generalized Intelligent Framework for Tutoring (GIFT) is a research prototype with three general goals associated with its functions and components: 1) lower the skills and time required to author Intelligent Tutoring Systems (ITSs) in a variety of task domains; 2) provide effective adaptive instruction tailored to the needs of each individual learner or team of learners; and 3) provide tools and methods to evaluate the effectiveness of ITSs and support research to continuously improve instructional best practices. This special issue focuses primarily on the third goal, GIFT as a research testbed. A discussion thread covers each article within this special issue and discusses its actual and potential impact on GIFT as a research tool for AIED. Our primary motivation was to introduce the AIED community to GIFT not just as a research tool, but as an extension of familiar challenges taken on previously by AIED scientists and practitioners. This preface provides a high level overview of the GIFT functions (authoring, instructional delivery and management, and experimentation) and presents its primary design principles. To learn more about GIFT, freely access the software, documentation, and associated technical papers visit www.GIFTtutoring.org."
"Design Guidelines and Empirical Case Study for Scaling Authentic Inquiry-based Science Learning via Open Online Courses and Interactive Biology Cloud Labs","International Journal of Artificial Intelligence in Education","volume28","478","507","2018","Hossain, Z., Bumbacher, E., Brauneis, A. et al. Design Guidelines and Empirical Case Study for Scaling Authentic Inquiry-based Science Learning via Open Online Courses and Interactive Biology Cloud Labs. Int J Artif Intell Educ 28, 478–507 (2018). https://doi.org/10.1007/s40593-017-0150-3","The Next Generation Science Standards (NGSS) and other national frameworks are calling for much more sophisticated approaches to STEM education, centered around the integration of complex experimentation (including real labs, not just simulations), data collection and analysis, modeling, and data-driven argumentation, i.e., students can behave like real scientists. How to implement such complex approaches in scalable ways is an unsolved challenge - both for presential and distance education. Here we report on the iterative design and large-scale deployment of an open online course with a “biology cloud experimentation lab” (using living cells) that engaged remote learners (> 300 students) in the scientific practices of experimentation, modeling and data analysis to investigate the phototaxis of a microorganism. We demonstrate (1) the robustness and scalability of the cloud lab technology (> 2,300 experiments run), (2) the design principles and synergistic integration of multiple UI and learning activities and suitable data formats to facilitate NGSS-aligned science activities, and (3) design features that leverages the natural variability of real biology experiments to instigate authentic inquiry. This platform and course content are now suited for large-scale adaptation in formal K-16 education; and we provide recommendations for inquiry-based science learning in general."
"Creating a Team Tutor Using GIFT","International Journal of Artificial Intelligence in Education","volume28","286","313","2018","Gilbert, S.B., Slavina, A., Dorneich, M.C. et al. Creating a Team Tutor Using GIFT. Int J Artif Intell Educ 28, 286–313 (2018). https://doi.org/10.1007/s40593-017-0151-2","With the movement in education towards collaborative learning, it is becoming more important that learners be able to work together in groups and teams. Intelligent tutoring systems (ITSs) have been used successfully to teach individuals, but so far only a few ITSs have been used for the purpose of training teams. This is due to the difficulty of creating such systems. An ITS for teams must be able to assess complex interactions between team members (team skills) as well as the way they interact with the system itself (task skills). Assessing team skills can be difficult because they contain social components such as communication and coordination that are not readily quantifiable. This article addresses these difficulties by developing a framework to guide the authoring process for team tutors. The framework is demonstrated using a case study about a particular team tutor that was developed using a military surveillance scenario for teams of two. The Generalized Intelligent Framework for Tutoring (GIFT) software provided the team tutoring infrastructure for this task. A new software architecture required to support the team tutor is described. This theoretical framework and the lessons learned from its implementation offer conceptual scaffolding for future authors of ITSs."
"Detecting and Addressing Frustration in a Serious Game for Military Training","International Journal of Artificial Intelligence in Education","volume28","152","193","2018","DeFalco, J.A., Rowe, J.P., Paquette, L. et al. Detecting and Addressing Frustration in a Serious Game for Military Training. Int J Artif Intell Educ 28, 152–193 (2018). https://doi.org/10.1007/s40593-017-0152-1","Tutoring systems that are sensitive to affect show considerable promise for enhancing student learning experiences. Creating successful affective responses requires considerable effort both to detect student affect and to design appropriate responses to affect. Recent work has suggested that affect detection is more effective when both physical sensors and interaction logs are used, and that context-sensitive design of affective feedback is necessary to enhance engagement and improve learning. In this paper, we provide a comprehensive report on a multi-part study that integrates detection, validation, and intervention into a unified approach. This paper examines the creation of both sensor-based and interaction-based detectors of student affect, producing successful detectors of student affect. In addition, it reports results from an investigation of motivational feedback messages designed to address student frustration, and investigates whether linking these interventions to detectors improves outcomes. Our results are mixed, finding that self-efficacy enhancing interventions based on interaction-based affect detectors enhance outcomes in one of two experiments investigating affective interventions. This work is conducted in the context of the GIFT framework for intelligent tutoring, and the TC3Sim game-based simulation that provides training for first responder skills."
